filename,Bicubic_PSNR,Bicubic_MSE,Bicubic_SSIM,SRCNN_PSNR,SRCNN_MSE,SRCNN_SSIM
agricultural_0007_patch00185.png,18.5069,917.0474,0.376,22.4647,368.6449,0.7611
agricultural_0007_patch00186.png,18.592,899.2426,0.367,22.4798,367.369,0.7522
agricultural_0007_patch00187.png,18.5618,905.5233,0.3576,22.3927,374.8057,0.7454
agricultural_0007_patch00188.png,18.3888,942.3181,0.3599,22.3097,382.0438,0.7528
agricultural_0007_patch00189.png,18.2265,978.2133,0.3627,22.1667,394.828,0.7547
agricultural_0007_patch00190.png,18.502,918.0873,0.3715,22.4412,370.6435,0.7593
agricultural_0007_patch00191.png,18.587,900.2824,0.3627,22.4265,371.901,0.746
agricultural_0007_patch00192.png,18.5563,906.681,0.3562,22.3833,375.6248,0.7395
agricultural_0007_patch00193.png,18.3181,957.7938,0.3599,22.1851,393.1589,0.7458
agricultural_0007_patch00194.png,18.2077,982.4572,0.3645,22.0852,402.3053,0.7493
agricultural_0007_patch00195.png,18.5393,910.2348,0.371,22.4677,368.3948,0.7556
agricultural_0007_patch00196.png,18.5818,901.3633,0.3575,22.3473,378.7439,0.7364
agricultural_0007_patch00197.png,18.5251,913.2083,0.3504,22.2318,388.9544,0.7254
agricultural_0007_patch00198.png,18.2954,962.8044,0.358,22.1158,399.4891,0.7414
agricultural_0007_patch00199.png,18.2198,979.7184,0.3675,22.0773,403.046,0.7517
agricultural_0008_patch00200.png,17.7906,1081.4943,0.4583,22.707,348.6398,0.8516
agricultural_0008_patch00201.png,17.7236,1098.3074,0.4559,22.4419,370.5843,0.8409
agricultural_0008_patch00202.png,17.7667,1087.4421,0.4621,22.4078,373.5056,0.8426
agricultural_0008_patch00203.png,17.7358,1095.2188,0.4634,22.525,363.5631,0.8476
agricultural_0008_patch00204.png,17.7046,1103.1259,0.4682,22.7073,348.616,0.8586
agricultural_0008_patch00205.png,17.8031,1078.3676,0.4515,22.6857,350.3602,0.8467
